url,title,price,city and zip code,neighbourhood,nb_rooms,nb_bedrooms,surface,numero_etage,description,Extérieur,Cadre et situation,Surfaces annexes,Services et accessibilité,Cuisine,Hygiène,Pièces à vivre,Diagnostic de performance énergétique (DPE),Indice d'émission de gaz à effet de serre (GES),loyer_base,charges_forfaitaires,complement_loyer,depot_garantie,loyer_charges_comprises,0
"https://www.seloger.com/annonces/locations/appartement/vichy-03/thermal-vieux-vican/164568383.htm?projects=1&types=2,1&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Studio à louer,875 €,Vichy (03200),Quartier Thermal-Vieux-Vican,1 pièce,,33 m²,Étage 0/–,"Situé au coeur du charmant quartier du Vieux Vichy, ce chaleureux F1 lumineux et agréable classé 3 étoiles vous fera vous sentir comme chez vous.
Sa grande terrasse de 30 m² ornée d'hortensias avec ses accessoires (salon de jardin, parasol, transats) et avec une vue imprenable sur le jardin du Castel Franc lui donne un côté unique auquel vous ne resterez pas insensible.
Au sein d'un immeuble sécurisé et très calme, vous serez situé à quelques mètres des Parcs de Vichy et du Lac d'Allier. Le Centre-ville, les Commerces, Restaurants, Opéra, Casino de Vichy sont à deux pas et les Thermes sont situés à 900m. Tout est facilement accessible à pied et le stationnement est très facile et gratuit dans tout le quartier.
Ce logement confortable (lit 140 de haute qualité ""grand confort"") et très fonctionnel (tout équipé et avec de nombreux rangements) sera idéal pour se ressourcer.
WIFI - Internet & Téléphone illimités gratuits
TV écran plat avec TNT
Nos amis les animaux sont les bienvenus (sur demande au préalable)
Équipements de bébé (lit bébé, chaise haute..) peuvent être fournis si besoin et sur demande
Local à vélos (vélos à votre disposition gratuitement sur demande)
Situé en Rez-de-jardin, Rue Porte Verrier. Résidence Le BELLEVUE
Venez découvrir Vichy, tout sera mis en oeuvre pour un séjour réussi, que vous soyez venus en amoureux, en famille, entre amis ou pour une cure, vous serez charmé par la ville.
Curistes: A partir de 750 euros
A la semaine: A partir de 315 euros
A bientôt !!Demander plus d'informations au propriétaire","Terrasse, Jardin","Calme, Belle vue",,Ascenseur : non communiqué,,,"Séjour / salon, Placards / rangements",,,,,,,875 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/seine-et-berges/162852333.htm?projects=1&types=2,1&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,2 900 €,Paris (75001),Quartier Seine et Berges,2 pièces,1 chambre,51 m²,Étage 2/–,"Île de la Cité - Appartement-loft avec vue Seine - Magique !
Situé sur le mythique quai des Orfèvres jouxtant la place Dauphine et le jardin du Vert-Galant. Les ""pieds dans l'eau"", vue à couper le souffle sur la Seine et le Pont Neuf.
Découvrez ce magnifique loft (3,6 m de hauteur sous plafond) situé au 2ème étage (avec ascenseur) d'un bel immeuble lumineux (orienté sud) du 17ème siècle, sur l'Île de la Cité.
Il comprend: un somptueux living avec 3 grandes fenêtres (2,7m X 1,2m chacune), une salle de bain avec grande baignoire, un coin cuisine aménagé et équipé, un hall d'entrée, un WC indépendant, de nombreux rangements et un grand dressing.
Copropriété calme, sympathique et sécurisée avec chauffage central.
Parking Vinci à 80mA moins de 350m: RER A, B et C / Métro L7,1 et 4. Commerces de proximité.
Coup de coeur assuré !
2900 euros / mois charges comprises.
Location en bail code civil, meublé ou non.
Merci de me contacter uniquement par tel ou sms.Demander plus d'informations au propriétaire",,"Exposition Sud, Calme",,"Ascenseur, Digicode",Coin cuisine,"Salle de bain (baignoire), Toilettes, Toilettes séparées","Entrée séparée, Placards / rangements",,,,,,,2 900 € / mois,
"https://www.seloger.com/annonces/locations/appartement/colomiers-31/falcou-fenassiers/167799907.htm?projects=1&types=2,1&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,450 €,Colomiers (31770),Quartier Falcou Fenassiers,5 pièces,4 chambres,93 m²,Étage 2/–,"Concept colocappart !
Posez vos valises comme à l'hôtel !
2 places disponible pour femme dans cette colocation haut de gamme au centre-ville de Colomiers.
Colocation située au 19Allée de l'Aspin au 2ème étage avec ascenseur dans une résidence sécurisée.
Points d'intérêts:
- Bassin d'emploi à proximité directe (Airbus, sous-traitant aéronautique et spatial)
- Centre-ville de Colomiers (3 min à pied)
- Supermarché, tabac, Pub, restaurants (3 min à pied)
- Boulangerie et boucherie en face de l immeuble 
Transports:
- Arrêt de bus L2 (1 min à pied)
- Gare Colomiers (3 min en voiture)
- Accès direct voie rapide (1 min en voiture)
L'immeuble:
Local à vélo et poubelle.
Une entrée sécurisée avec vigicode.
Il est facile de se garer car un grand parking est disponible en bas de l immeuble.
L'appartement:
Appartement de 93 mètres carrés 
Vous partagerez deux salles de bain design et une cuisine totalement equipè dont deux réfrigérateurs de grande capacité.
Les chambres dispose:
-grande télévision 4k
-netflix (gratuit)
-lit 140x190  
-climatisation 
-bureau et chaise
-fibre optique câble en 6a avec 0 déperdition 
Toutes les chambres sont sécurisée par un accès biometrique.
De même pour l entrée de l appartement.
Sitot que la porte se ferme personne ne peut accéder à votre chambre.
Le loyer dépend de la surface de votre chambre avec 50 euros de charges comprise reevaluable à l'année. Les charges comprennent tout.
Chambre 2: 13 mètres carrés loyer 480 
Chambre 3: 12 mètres carrés loyer 450 
Un dépôt de garanti d'une valeur de 
600 euros vous seras demandé. Encaissé et ensuite restitué  à votre départ.
Aucun frais d'agence ni de dossier a prévoir.
Ce sont des beaux individuels sans clause de solidarité.
1 garant demandè 
Il y a déjà un étudiant en bts et une jeunes femmes de 22 ans 
Personnes sérieuses et soigneuse svp merci 
Vidéo de l'appartement disponible sur youtube ! Tapez ""colocappart31 rénovation"" 
Passez une bonne journée.Demander plus d'informations au propriétaire",Balcon,,,Ascenseur,,2 salles de bain (baignoire),Entrée séparée,,,,,,,450 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/les-halles/207136695.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Studio meublé à louer,565 €,Paris (75001),Quartier Les Halles,1 pièce,,12 m²,,"Studio refait à neuf comprenant une pièce principale avec un coin bureau , une cuisine ainsi qu’une espace douche et toilette.Demander plus d'informations au propriétaire",,,,Pas d'ascenseur,,,,,,,,,,565 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/vendome/216689165.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Studio meublé à louer,10 150 €,Paris (75001),Quartier Vendôme,1 pièce,,12 m²,Étage 0/–,"Petit studio rénové très calme sur cour , plein centre  (tuilerie concorde )à louer pendant les  jeux olympiques ,cuisine équipée , lit escamotable.
 grand confort , salle de douche Wc, télévision , parking possible dans la cour Demander plus d'informations au propriétaire",,Calme,"Box, Parking",Pas d'ascenseur,Cuisine américaine,Salle d'eau (douche),,,,,,,,10 150 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/les-halles/203513653.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,1 860 €,Paris (75001),Quartier Les Halles,2 pièces,1 chambre,55 m²,,"Magnifique appartement charmant, parfait pour un couple La luminosité est le point fort de cet appartement. Le salon dispose d'un canapé, deux fauteuils et d'une télévision à écran plat, une table à manger pour quatre personnes. Il y a un grand balcon filant donnant un vue sur un grand jardin intérieur. La cuisine est lumineuse et entièrement équipée avec lave-vaisselle, réfrigérateur, four et plaques de cuisson, et une petite table haute qui est très pratique et convivial.

Un couloir long à gauche vous donne l'accès à la salle de bain, WC séparé et directement de la chambre. La chambre comprend un lit double confortable, de grands placards, l'accès au balcon également.
Demander plus d'informations au propriétaire","Balcon, Terrasse, Jardin",,,Ascenseur,,Salle de bain (baignoire),Placards / rangements,,,,,,,1 860 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/les-halles/206834839.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,3 499 €,Paris (75001),Quartier Les Halles,3 pièces,2 chambres,73 m²,Étage 3/–,"Très bel appartement parisien de 73m2, entièrement rénové, comprenant 2 chambres et 2 salles de bains, idéalement situé dans le 1er arrondissement, en plein cœur de Paris, à deux pas du Musée du Louvre, de la Samaritaine et de la ligne 1 (métro Louvre-Rivoli), extrêmement calme, avec vue sur un jardin, entièrement meublé et prêt à emménager.
Prestations de très haute qualité. Situe au 3e étage. Idéal pour une famille de 4 personnes.

Cuisine entièrement équipée
Lave linge/sèche linge
Écran plat
Connexion wifi.

*Uniquement Bail de résidence secondaire ou Bail société.
*Loyer : 3499 euros/ mois charges comprises.
*Dépôt de garantie : 2 mois de loyer.

Luxury 1000 sq. ft apartment on the 3rd floor of a building perfectly located in the very center of Paris right next to the Louvre Museum, the famous Samaritaine and the very convenient subway line 1. 
The apartment comprises two double bedrooms with king size beds and two bathrooms, ideal for a family of four or for two couples. Ideally situated in the best part of town to discover Paris, the apartment is located in a very lively area with lots of restaurants, bars and shops. The apartment is very quiet though, as both bedrooms views are on large inner courtyards rather than street.

The apartment is fully furnished. 
The kitchen is fully equipped with a fridge, a dishwasher, an induction hob, an oven, a micro-wave, a Nespresso coffee-maker, and an electric water boiler.

The apartment is equipped with high-speed internet Wi-Fi in all rooms, towels in both bathrooms, a washing machine, a dryer, a hair dryer, irons, a fan in each room, and an iPhone/iPod speaker.

Metro Louvre Rivoli (1-minute walk): line 1
Metro Châtelet (5-minute walk): line 1, 4, 7, 11 and 14 and RER A, B and D (direct Charles de Gaulle International Airport - 30 minutes)
Metro Hotel de Ville (10-minute walk): line 1 and 11
Nearest taxi stand is less than 1 minute walk.

* Rent: 3499 euros/month charges included.
Demander plus d'informations au propriétaire",,Calme,,Pas d'ascenseur,,2 salles de bain (baignoire),,,,,,,,3 499 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/les-halles/214836571.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement à louer,5 002 €,Paris (75001),Quartier Les Halles,4 pièces,,108 m²,,"Location d'un bureau de 108m² au coeur de Paris, situé entre le Ministère de la Culture et la Bourse de Commerce. 
Ce bureau comprend 1 grande entrée, 1 cuisine, 4 salles de travail, 1 local débarras, 1 grande cave, des toilettes et 1 balcon. 

Métros à proximité: Châtelet-les-Halles, Louvre-Rivoli (M1 et M7) et Pyramides (M14).

Conditions de Bail: 3 mois de caution et 6 mois de GAPD. 

 Demander plus d'informations au propriétaire",Balcon,,Cave,Pas d'ascenseur,,,Entrée séparée,D,D,,,,,5 002 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/seine-et-berges/162852333.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,2 900 €,Paris (75001),Quartier Seine et Berges,2 pièces,1 chambre,51 m²,Étage 2/–,"Île de la Cité - Appartement-loft avec vue Seine - Magique !
Situé sur le mythique quai des Orfèvres jouxtant la place Dauphine et le jardin du Vert-Galant. Les ""pieds dans l'eau"", vue à couper le souffle sur la Seine et le Pont Neuf.
Découvrez ce magnifique loft (3,6 m de hauteur sous plafond) situé au 2ème étage (avec ascenseur) d'un bel immeuble lumineux (orienté sud) du 17ème siècle, sur l'Île de la Cité.
Il comprend: un somptueux living avec 3 grandes fenêtres (2,7m X 1,2m chacune), une salle de bain avec grande baignoire, un coin cuisine aménagé et équipé, un hall d'entrée, un WC indépendant, de nombreux rangements et un grand dressing.
Copropriété calme, sympathique et sécurisée avec chauffage central.
Parking Vinci à 80mA moins de 350m: RER A, B et C / Métro L7,1 et 4. Commerces de proximité.
Coup de coeur assuré !
2900 euros / mois charges comprises.
Location en bail code civil, meublé ou non.
Merci de me contacter uniquement par tel ou sms.Demander plus d'informations au propriétaire",,"Exposition Sud, Calme",,"Ascenseur, Digicode",Coin cuisine,"Salle de bain (baignoire), Toilettes, Toilettes séparées","Entrée séparée, Placards / rangements",,,,,,,2 900 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/les-halles/206834839.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,3 499 €,Paris (75001),Quartier Les Halles,3 pièces,2 chambres,73 m²,Étage 3/–,"Très bel appartement parisien de 73m2, entièrement rénové, comprenant 2 chambres et 2 salles de bains, idéalement situé dans le 1er arrondissement, en plein cœur de Paris, à deux pas du Musée du Louvre, de la Samaritaine et de la ligne 1 (métro Louvre-Rivoli), extrêmement calme, avec vue sur un jardin, entièrement meublé et prêt à emménager.
Prestations de très haute qualité. Situe au 3e étage. Idéal pour une famille de 4 personnes.

Cuisine entièrement équipée
Lave linge/sèche linge
Écran plat
Connexion wifi.

*Uniquement Bail de résidence secondaire ou Bail société.
*Loyer : 3499 euros/ mois charges comprises.
*Dépôt de garantie : 2 mois de loyer.

Luxury 1000 sq. ft apartment on the 3rd floor of a building perfectly located in the very center of Paris right next to the Louvre Museum, the famous Samaritaine and the very convenient subway line 1. 
The apartment comprises two double bedrooms with king size beds and two bathrooms, ideal for a family of four or for two couples. Ideally situated in the best part of town to discover Paris, the apartment is located in a very lively area with lots of restaurants, bars and shops. The apartment is very quiet though, as both bedrooms views are on large inner courtyards rather than street.

The apartment is fully furnished. 
The kitchen is fully equipped with a fridge, a dishwasher, an induction hob, an oven, a micro-wave, a Nespresso coffee-maker, and an electric water boiler.

The apartment is equipped with high-speed internet Wi-Fi in all rooms, towels in both bathrooms, a washing machine, a dryer, a hair dryer, irons, a fan in each room, and an iPhone/iPod speaker.

Metro Louvre Rivoli (1-minute walk): line 1
Metro Châtelet (5-minute walk): line 1, 4, 7, 11 and 14 and RER A, B and D (direct Charles de Gaulle International Airport - 30 minutes)
Metro Hotel de Ville (10-minute walk): line 1 and 11
Nearest taxi stand is less than 1 minute walk.

* Rent: 3499 euros/month charges included.
Demander plus d'informations au propriétaire",,Calme,,Pas d'ascenseur,,2 salles de bain (baignoire),,,,,,,,3 499 € / mois,
