title,subtitle,author,prices,characteristics,description
Location grand studio meublé étudiant bordeaux chartrons centre vue eglise et quai immeuble 18ème,"Locations immobilières
Bordeaux (33000)",**** ******,"{'Loyer': '650 €', 'Charges locatives': '40 €', 'Total par mois': '690 €'}",{},"Chers Gens de Confiance, nous louons pour étudiants uniquement avec un bail de 9 mois reconductible par periodes de 9 mois notre appartement entièrement meublé en plein coeur des chartrons possibilité de parking a 100 mètres.
Immeuble 18ème pierre de taille tres lumineux 2ème etage grande hauteurs sous plafond vu sur quai et eglise des chartrons de la fenetre comme sur la photo.
Quartier très calme et tous commerces a moins de 100 mètres.
Le locataire actuel part a la fin de ses examens le 30 juin 2024 l’appartement est donc disponible le 1er juillet
N hesitez pas a me laisser un message"
Loue T2 Paris La défense Courbevoie - 35m²,"Locations immobilières
Courbevoie (92400)",**** ******,"{'Loyer': '1\u202f500 €', 'Charges locatives': '0 €', 'Total par mois': '1\u202f500 €'}",{},"Chers Gens de Confiance,
Dans ce charmant appartement traversant de plain-pied avec parquet ancien de 2 pièces d’une surface de 35m² rénové, vous trouverez une chambre au calme (vue jardin) de 9m² équipé d’un lit double coffre et de son dressing.

Pour le quotidien le logement dispose d’une buanderie équipée.

La salle de bain avec toilette est fonctionnelle avec sa douche italienne équipé d’un siège de douche.

Le couloir est équipé de rangement et une penderies supplémentaire vous permettra d’organiser votre quotidien.

Le séjour de 20m² avec cuisine équipée ouverte vous permettra de cuisiner pour votre séjour en toute convivialité et de profiter de son exposition Sud-Est. Le canapé convertible pourra accueillir 2 personnes supplémentaires. Si besoin vous pourrez faire 2 couchages séparés avec l’utilisation d’un matelas au sol. (possibilité de demander un 5e voyageur au prix de 15€/nuits). Location possible d’un lit parapluie pour 15€/séjour à demander 72h minimum avant l’arrivée

Un coin bureau équipé internet filaire ou wifi avec imprimante dans un coin du salon.

Pour vos animaux : une cour vous permettra de détendre vos chiens à l’arrière de l’immeuble sans voiture. Pour les chats la buanderie est équipée d’une chatière pour éviter d’avoir le bac à litière dans les pièces de vie (Location possible du nécessaire pour chat (bac à litière avec la première litière propre + gamelles + grattoir) pour 20€/séjour à demander 72h minimum avant l’arrivée)

Pour commencer votre location moyenne/longue durée, vous trouverez à votre arrivée, boissons chaudes, shampoing, gel douche et produit ménagers : Le linge de maison est fourni."
Sous-Loue juillet août T2 42m² 18ème Paris,"Locations immobilières
Paris (75018)",Benjamin Lambert,"{'Loyer': '1\u202f400 €', 'Charges locatives': '0 €', 'Total par mois': '1\u202f400 €'}",{},"Chers Gens de Confiance,
Je loue mon appartement T2 de 42m², très lumineux, idéalement situé proche métro La fourche, Rue Fauvet 75018. Il dispose de tout le confort nécessaire pour un séjour agréable (Lave linge / baignoire/ bureau et chaise pour télétravail éventuel / WiFi / un lit deux places + un canapé lit deux places)
Le bien est disponible du 1er juillet au 30 août

N’hésitez pas a me contacter directement pour toutes questions"
"Sous loue 1 chambre en colocation Lamarck-Caulaincourt, Paris 18ème","Locations immobilières
Paris (75018)",**** ******,"{'Loyer': '600 €', 'Charges locatives': '45 €', 'Total par mois': '645 €'}",{},"Chers Gens de Confiance,

Je vous propose cette chambre dans un appartement de 60m² à Montmartre, métro Lamarck.

Je quitte l’appartement à la mi-avril et cette chambre est disponible dès le 15 mars en attendant la reprise d’un autre locataire.

Ma colocataire Juliette y habite depuis 2 ans.

L’appartement est très lumineux, traversant et calme.

Belle journée,"
Loue Meublé tout équipé prêt-à-vivre en coliving centre ville de Nantes - 18m²,"Locations immobilières
Nantes (44200)",Cécile Poirier,"{'Loyer': '750 €', 'Charges locatives': '70 €', 'Total par mois': '820 €'}",{},"Chers Gens de Confiance,

Venez découvrir notre Habitation SOUFFLE, une ancienne soufflerie réhabilitée dans un style Loft Industriel composée d’appartements meublés et de plus de 205m² d’espaces partagés où se retrouver.
Elle est située dans le quartier de la Création, à quelques pas des écoles d’Architecture, Design, Media Campus… Et du site touristique des Machines de l’Ile ! TOUS SERVICES à proximité immédiate : transports, commerces, restaurants…

Posez vos valises dans un studio prêt-à-vivre de qualité en coliving. Un nouveau mode de vie combinant des appartements meublés indépendants et de grands espaces partagés décorés avec goût, pour vivre des moments conviviaux.

Au 1er étage, nous vous proposons un bel appartement avec balcon, meublé et TOUT équipé comprenant un espace kitchenette (vaisselle, micro-ondes, réfrigérateur, plaque vitro inclus). Vous retrouverez un lit de qualité hôtelière de 120 cm (linge de lit fourni), un placard, un bureau et son fauteuil. Enfin, une salle d’eau avec WC, meuble vasque et sèche-serviette (linge de toilette fourni). Le plus de notre concept de Coliving : profitez de vastes espaces partagés et de services de qualité :
- Cuisine entièrement équipée avec lave-vaisselle, tables de cuisson, micro-ondes, four, réfrigérateur, machine à café en libre service…,
- Salon TV avec abonnement Netflix, console de jeux et jeux de société, - Salon de lecture, - Internet très haut débit et sécurisé dans toute l’Habitation,
- Buanderie en libre accès avec lave-linge et sèche-linge,
- Vélos,
- Voiture en autopartage,
- Un.E référent.E est à votre disposition pour vous accueillir et vous accompagner au quotidien, - ménage et consommables des parties communes.

Charges forfaitaires comprises : eau, chauffage, électricité, TOM, divers entretiens et réparation, maintenance chaudière, VMC…,

Surface privative : 17.67m² SHAB carrez 27.25m² surface au sol.
Surface espaces partagés : 205m² SHAB

Loyer : 819.48 euros/mois charges comprises (dont 70 euros de charges forfaitaires) + 85 euros/mois de services mutualisés obligatoires. Total : 904.48 euros TTC Honoraires à la charge du locataire : 333.71 euros (dont 77.01 euros d’état des lieux).
Dépôt de garantie : 681.35 euros

Éligibles aux ALS (simulation sur caf.fr) .

Aucune démarche administrative. Nous nous occupons de tout pour vous !

Disponible à la location le 23 décembre"
Loue Appartement meublé clés en main en coliving dans un hôtel particulier - 16m²,"Locations immobilières
Bordeaux (33000)",Cécile Poirier,"{'Loyer': '700 €', 'Charges locatives': '66 €', 'Total par mois': '766 €'}",{},"Chers Gens de Confiance,

Quartier St Genès, proche CHU, arrêt de tram Barrière St Genès. Nous louons un T1 meublé et équipé lumineux et calme donnant sur jardin et exposé sud-ouest dans un hôtel particulier entièrement rénové.

Au 1er étage, appartement comprenant :

- un lit de 120 cm avec linge de lit,
- rangements,
- table/ buraeu avec chaise,
- kitchenette équipée,
- salle d’eau avec WC, meuble vasque et sèche-serviette + linge de toilette.

Disponible pour le 15 janvier.

Le plus de notre concept de Coliving : profitez de vastes espaces partagés et de services de qualité :
- Cuisine entièrement équipée avec lave-vaisselle, tables de cuisson, micro-ondes, four, réfrigérateur, machine à café en libre service…,
- Salon TV avec abonnement Netflix et console de jeux,
- Internet très haut débit et sécurisé dans toute l’Habitation,
- Buanderie en libre accès avec lave-linge et sèche-linge,
- Terrasse, jardin et stationnements aériens,
- Vélos à disposition,
- Un.E référent.E est à votre disposition pour vous accueillir et vous accompagner au quotidien,
- un intendant qui s’occupe du ménage et de l’entretien des espaces partagés.

Charges forfaitaires COMPRISES : eau, chauffage, électricité, TOM, divers entretiens et réparation, maintenance chaudière, VMC…,

Surface privative : 16,10m² SHAB
Surface espaces partagés : 116,62m² SHAB

Détail loyer charges comprises et services coliving inclus : 766 euros/mois charges comprises (dont 66 euros de charges forfaitaires) + 75 euros/mois de services ""coliving"".
Total : 841 euros TTC

Honoraires à la charge du locataire : 313,30 euros (dont 48,30 euros d’état des lieux)
Dépôt de garantie : 636,35 euros
Éligibles aux ALS (simulation sur caf.fr) .

DPE C et GES A

Aucune démarche administrative. Nous nous occupons de tout pour vous !"
"Loue Appartement T1  19m² meublé, tout équipé NEUF, clés en main ! Lyon 8ème limite du 7ème","Locations immobilières
Lyon (69008)",Cécile Poirier,"{'Loyer': '770 €', 'Charges locatives': '125 €', 'Total par mois': '895 €'}",{},"Chers Gens de Confiance,

Nouveauté ! Notre Habitation EMILE en Coliving vous propose un nouveau mode de vie combinant des appartements meublés indépendants et de grands espaces partagés décorés avec goût, pour vivre des moments conviviaux. Venez poser vos valises dans un studio prêt-à-vivre de qualité.
Son charme et ses espaces extérieurs vous séduiront dans cette maison grâce à une atmosphère intimiste.

Accès facile aux transports en commun, les lignes D (Métro,) T2,T4 (Tram,) C35,C12,C16,C25 (Bus.) Puis à 20mins de la Gare Par-Dieu à Lyon 3.

Appartement Meublé, tout équipé de 19m². Situé au 1er, il se compose d’une entrée avec kitchenette, four micro-ondes, réfrigérateur, plaque de cuisson, vaisselle et ustensiles. Un espace nuit, avec un lit de deux personnes d’une qualité hôtelière et son linge de lit. Pour conclure une salle d’eau spacieuse privative avec douche à l’italienne, meuble vasque, wc suspendu et sèche-serviette. (Les serviettes et tapis de bains sont fournis.)

Vous allez retrouver dans les espaces partagés :
- Une cuisine entièrement équipée : lave-vaisselle, table de cuisson, micro-ondes, four, réfrigérateur, lave vaisselle….
- Machine à café à grains.
- Un salon TV avec abonnement Netflix.
- Une console de jeu et des jeux de société.
- Une buanderie en libre accès avec machine à laver et sèche linge.
- Un espace extérieur avec son mobilier de jardin.
- Des vélos à disposition (accès à une piste cyclable au pied du coliving.)
- Accessible rapidement à Lyon 7, un arrondissement animé et dynamique.

Aucune démarche administrative, nous nous occupons de tout pour vous !

Loyer : 895 euros/mois charges comprises (DONT 125 euros de charges forfaitaires) + 35 euros/mois de services mutualisés obligatoires. Total : 930 euros TTC tout inclus !

Honoraires à la charge du locataire : 364.18 euros (dont 88.09 euros d’état des lieux)
Dépôt de garantie : 700 euros
Appartement éligible aux ALS de la Caf.

Le détail des charges et services mutualisés pour cette habitation est le suivant : Charges incluses : Eau, gaz, électricité, TOM, divers entretiens et réparation/maintenance : chaudière, VMC. Ménage et consommables des parties communes.

Services : Accès internet très haut débit, pack Audiovisuel (abonnements Molotov+ /Netflix), console de jeu, vélos à disposition, machine à café en grains à volonté et une personne dédiée : la référente pour répondre à vos besoins et attentes de façon rapide.

Localisation : Lyon 8 - proche Lyon 7"
"Loue Appartement meublé neuf prêt-à-vivre en coliving - 18m², Angers (49)","Locations immobilières
Angers (49100)",Cécile Poirier,"{'Loyer': '529 €', 'Charges locatives': '130 €', 'Total par mois': '659 €'}",{},"Chers Gens de Confiance,

Dans un quartier dynamique en plein développement. Situé à proximité immédiate de l’ESEO et du Lycée Jean Moulin. A faculté de médecine et le CHU sont à 10 min. Centre ville et Parc Terra Botanica à 15 minutes en transports (tram A).

Au 3ème étage, nous vous proposons un bel appartement exposé sud, meublé et TOUT équipé comprenant un espace kitchenette (vaisselle, micro-ondes, réfrigérateur, plaque induction inclus), une table avec chaise, un placard, un lit de qualité hôtelière (linge de lit fourni).
Enfin, une salle d’eau avec WC indépendants, meuble vasque et sèche-serviette (linge de toilette fourni). Disponible pour le 22/04/2024.

Le plus de notre concept de Coliving : profitez de vastes espaces partagés 69m² et de services de qualité :
- Cuisine entièrement équipée avec lave-vaisselle, tables de cuisson, micro-ondes, four, réfrigérateur, machine à café en libre service…,
- Salon TV avec abonnement Netflix et console de jeux, - Internet très haut débit et sécurisé dans toute l’Habitation,
- Buanderie en libre accès avec lave-linge et sèche-linge,
- Chambre d’amis,
- Terrasse,
- Vélos à disposition,
- Voiture en autopartage,
- Un.E référent.E est à votre disposition pour vous accueillir et vous accompagner au quotidien.

Charges forfaitaires COMPRISES : eau, chauffage, électricité, TOM, divers entretiens et réparation, VMC…, ménage et consommables des parties communes.

Surface privative : 17,95m² SHAB Surface espaces partagés : 69m² SHAB

Détail loyer charges comprises et services coliving : 659 euros/mois charges comprises (dont 130 euros de charges forfaitaires) + 53 euros/mois de services ""coliving"". Total : 712,00 euros TTC TOUT INCLUS
Honoraires à la charge du locataire : 239,80 euros (dont 65,40 euros d’état des lieux) Dépôt de garantie : 480,91 euros Éligibles aux ALS (simulation sur caf.fr) .

DPE NC (en cours)

Aucune démarche administrative. Nous nous occupons de tout pour vous !"
Loue Studio 27m² Levallois,"Locations immobilières
Levallois-Perret (92300)",**** ******,"{'Loyer': '870 €', 'Charges locatives': '30 €', 'Total par mois': '900 €'}",{},"Chers Gens de Confiance, notre studio entièrement meublé est disponible à partir du 1er avril. Situé au debut de la rue Trebois, clair et traversant, 4ème étage. Photos à venir."
"Loue appartement vieux Lille - 2 chambres, 85m²","Locations immobilières
Lille (59800)",**** ******,"{'Loyer': '1\u202f650 €', 'Charges locatives': '0 €', 'Total par mois': '1\u202f650 €'}",{},"Chers Gens de Confiance,

Je loue un appartement situé au premier étage rue Royale en plein coeur du vieux Lille.
Surface de 85m² avec de beaux volumes avec 2 grandes chambres une cuisine équipée un très grand séjour. Appartement lumineux et proposé meublé au prix de 1650 euros charges de chauffage comprises (chaudière collective au gaz)."
