title,price,city and zip code,neighbourhood,nb_rooms,nb_bedrooms,surface,numero_etage,description,Extérieur,Cadre et situation,Surfaces annexes,Services et accessibilité,Cuisine,Hygiène,Pièces à vivre,Diagnostic de performance énergétique (DPE),Indice d'émission de gaz à effet de serre (GES),loyer_base,charges_forfaitaires,complement_loyer,depot_garantie,loyer_charges_comprises
Appartement meublé à louer,512 €,Saint-Denis (93200),Quartier Centre Ville-Basilique,2 pièces,1 chambre,34 m²,,"Dans une résidence sécurisée avec gardien appartement de type 2 pièces en parfait état d'une surface habitable de 34 m2 offrant une entrée, séjour donnant sur balcon, cuisine , salle de douche, 1 wc, 1 chambres avec placards.Demander plus d'informations au propriétaire",Balcon,,,"Ascenseur, Gardien",,,"Séjour / salon, Entrée séparée, Placards / rangements",Diagnostic de performance énergétique (DPE) not found,Indice d'émission de gaz à effet de serre (GES) not found,,,,,512 € / mois
title,price,city and zip code,neighbourhood,nb_rooms,nb_bedrooms,surface,numero_etage,description,Extérieur,Cadre et situation,Surfaces annexes,Services et accessibilité,Cuisine,Hygiène,Pièces à vivre,Diagnostic de performance énergétique (DPE),Indice d'émission de gaz à effet de serre (GES),loyer_base,charges_forfaitaires,complement_loyer,depot_garantie,loyer_charges_comprises
Appartement à louer,820 €,Cheptainville (91630),Neighbourhood Not Found,2 pièces,1 chambre,57 m²,Étage 0/–,"Appartement 2 pièces 57m2 en rez-de-jardin entièrement refait à neuf comprenant : entrée avec placard, séjour avec cuisine aménagée et équipée 30 m2 (plaque, hotte, four et lave vaisselle), 1 grande chambre de 15m2 avec dressing, 1 salle d’eau et 1 wc avec espace buanderie. 
Fenêtres PVC et ALU double vitrage, volets roulants motorisés 
1 terrasse privative exposée sud
1 place de stationnement en extérieur 
Proche de la gare de Marolles en Hurepoix (RER C)
Garantie VISALE ou Garants physiques sérieux acceptés 
Loyer mensuel : 780€ hors charges + 40€ de charges Demander plus d'informations au propriétaire","Terrasse, Jardin",,,Pas d'ascenseur,,,"Séjour / salon, Entrée séparée, Placards / rangements",C,Indice d'émission de gaz à effet de serre (GES) not found,,,,,820 € / mois
title,price,city and zip code,neighbourhood,nb_rooms,nb_bedrooms,surface,numero_etage,description,Extérieur,Cadre et situation,Surfaces annexes,Services et accessibilité,Cuisine,Hygiène,Pièces à vivre,Diagnostic de performance énergétique (DPE),Indice d'émission de gaz à effet de serre (GES),loyer_base,charges_forfaitaires,complement_loyer,depot_garantie,loyer_charges_comprises
Appartement meublé à louer,542 €,Sarcelles (95200),Quartier Mace-Andre Gide,2 pièces,1 chambre,35 m²,,"Dans une résidence sécurisée avec gardien appartement de type 2 pièces en parfait état d'une surface habitable de 35 m2 offrant une entrée, séjour donnant sur balcon, cuisine , salle de douche, 1 wc, 1 chambres avec placards.Demander plus d'informations au propriétaire",Balcon,,,"Pas d'ascenseur, Gardien",,,"Séjour / salon, Entrée séparée, Placards / rangements",Diagnostic de performance énergétique (DPE) not found,Indice d'émission de gaz à effet de serre (GES) not found,,,,,542 € / mois
title,price,city and zip code,neighbourhood,nb_rooms,nb_bedrooms,surface,numero_etage,description,Extérieur,Cadre et situation,Surfaces annexes,Services et accessibilité,Cuisine,Hygiène,Pièces à vivre,Diagnostic de performance énergétique (DPE),Indice d'émission de gaz à effet de serre (GES),loyer_base,charges_forfaitaires,complement_loyer,depot_garantie,loyer_charges_comprises
Appartement meublé à louer,1 600 €,Paris (75011),Quartier République-Saint Ambroise,2 pièces,1 chambre,40 m²,Étage 5/7,"23 Boulevard Voltaire-75011 PARIS
Métro 8
POUR VISITER : MERCI DE REMPLIR LE CHAMPS 'CONTACTER L'AGENCE', NOUS VOUS ENVERRONS UN MAIL + SMS POUR ACCEDER A MON AGENDA.

Dans un bel immeuble ancien, idéalement situé à proximité de la République, beau 2 pièces refait à neuf, loué MEUBLE, 5e étage sans ascenseur, comprenant : entrée, séjour avec cuisine ouverte aménagée et équipée, chambre avec placard, salle de bain et wc séparés. 2 balcons. vue dégagée.
Interphone, chauffage et eau chaude individuels électriques. Disponible de suite. Isambert Blomet. 
Zone soumise à encadrement des loyers. Loyer de référence majoré (loyer de base à ne pas dépasser) 1350 euros/mois. Loyer de base 1350 euros/mois. Provision sur charges 100 euros/mois, régularisation annuelle. Complément de loyer 150 euros/mois. Dépôt de garantie 3 000 euros. Honoraires de 600 euros TTC à la charge du locataire comprenant 120 euros pour l'état des lieux. Classe énergie E, Classe climat C Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 800.00 et 1100.00 euros.Demander plus d'informations à l'agence",2 balcons 6 m²,"Exposition Sud/Est, Belle vue",,"Pas d'ascenseur, Interphone",Cuisine américaine équipée,"Salle de bain (baignoire), Toilettes, Toilettes séparées","Séjour / salon 16 m², Entrée séparée, Placards / rangements",E,C,,,,,1 600 € / mois
title,price,city and zip code,neighbourhood,nb_rooms,nb_bedrooms,surface,numero_etage,description,Extérieur,Cadre et situation,Surfaces annexes,Services et accessibilité,Cuisine,Hygiène,Pièces à vivre,Diagnostic de performance énergétique (DPE),Indice d'émission de gaz à effet de serre (GES),loyer_base,charges_forfaitaires,complement_loyer,depot_garantie,loyer_charges_comprises
Appartement à louer,950 €,Rambouillet (78120),Quartier Villeneuve Clairiere,2 pièces,1 chambre,50 m²,,"Superbe appartement avec matériaux haut de gamme, cuisine équipée, plusieurs rangements, wc séparé, disponible de suite Demander plus d'informations au propriétaire",,,,Pas d'ascenseur,Cuisine équipée,,Placards / rangements,Diagnostic de performance énergétique (DPE) not found,Indice d'émission de gaz à effet de serre (GES) not found,,,,,950 € / mois
