,url,title,type,ville,person_capacity,latitude,longitude,nb_bedrooms,nb_beds,nb_bathrooms,host_name,lave-linge,sèche-linge,lave-vaisselle,balcon,terrasse,parking,ascenseur,climatisation,piscine,baignoire,lits_doubles,lits_simples,canapes_convertibles,lits_superposes,surface,nb_rooms,type_de_bien,quartier,meuble,nombre_d'etages,numero_d'etage,cave,cost
0,https://www.airbnb.fr/rooms/7751482,"Studio  idéal pour télétravail ou proche hôpitaux - Appartements à louer à Strasbourg, ., France - Airbnb",appartement,Strasbourg,2,48.59858,7.69896,1.0,1.0,1.0,Eddy,non,non,non,non,non,oui,non,non,non,non,1,0,0,0,,,appartement,,oui,,1.0,oui,72.93233082706767
1,https://www.airbnb.fr/rooms/34897143,"""MON PERCHOIR"", grand studio lumineux, confortable - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,2,48.58075,7.77299,,1.0,1.0,Mathilde,non,non,non,non,non,oui,oui,non,non,non,1,0,0,0,,,maison,Esplanade,,,,,57.14285714285714
2,https://www.airbnb.fr/rooms/34238844,"BEAU studio proximité GARE et CENTRE VILLE - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,2,48.58088,7.73267,,,1.0,Nathan,non,non,non,non,non,non,non,non,non,non,0,0,0,0,,,appartement,,,,1.0,Non,67.66917293233082
3,https://www.airbnb.fr/rooms/923059766252215612,"Studio confortable Strasbourg - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,2,48.56798775798625,7.755077739499925,1.0,1.0,1.0,"Tiffany, Cédric & Cataleya",non,non,non,non,non,oui,non,non,non,non,0,0,0,0,,,appartement,,oui,,1.0,,68.42105263157895
4,https://www.airbnb.fr/rooms/39579293,"Logement 48m2 Strasbourg Krutenau-parking possible - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,5,48.57985,7.76147,2.0,3.0,1.0,Pascal & Séverine,oui,non,non,non,non,non,non,non,non,oui,1,1,1,0,,,appartement,,,,1.0,,69.92481203007519
5,https://www.airbnb.fr/rooms/1022438926089435916,"Logement entier quartier Gare - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,2,48.5846093460526,7.740074911413132,1.0,,1.0,Nathalie,non,non,non,oui,non,non,oui,non,non,non,0,0,0,0,,,appartement,,,,1.0,,59.3984962406015
6,https://www.airbnb.fr/rooms/30730022,"Hyper centre Kleber Logement entier Grand Studio - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,2,48.58356,7.74373,1.0,1.0,1.0,Gérard,non,non,non,non,non,non,non,non,non,oui,1,0,0,0,38.0,,appartement,,,,,,65.41353383458647
7,https://www.airbnb.fr/rooms/988322982451996431,"Le Seventies - Chez Antoine et Laura - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,3,48.56939552547426,7.755541652441025,,,1.0,Laura,oui,non,non,oui,non,oui,oui,non,non,non,0,0,0,0,,,appartement,,oui,,0.0,,50.37593984962406
8,https://www.airbnb.fr/rooms/30393616,"A DEUX MIN DE LA GARE STUDIO ESPRIT LOFT - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,3,48.58189,7.73572,,1.0,1.0,Amélie,non,non,non,non,non,non,non,non,non,non,0,0,0,0,,,appartement,,,,1.0,,67.66917293233082
9,https://www.airbnb.fr/rooms/1131304000529383573,"Le cocon - studio proche du centre de Strasbourg - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,2,48.57882110397776,7.711772695183754,1.0,1.0,1.0,Magali,oui,non,non,non,non,oui,oui,non,non,non,1,0,0,0,,,appartement,,,,1.0,,72.18045112781954
