,url,id,type,meuble,host_name,price,ville,zipcode,quartier,nb_rooms,nb_bedrooms,surface,description,balcon,terrasse,jardin,surface_balcon,surface_terrasse,surface_jardin,exposition,cave,parking,garage,box,ascenseur,interphone,gardien,numero_etage,nb_etages,baignoire,douche,surface_salon,surface_salle_a_manger,DPE,GES,loyer_charges_comprises,charges_forfaitaires,complement_loyer,depot_garantie
0,https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/belleville-saint-maur/219627019.htm,219627019,studio,oui,carlier,2300.0,paris,75011,,1,,60.0,"à la suite d'une mutation professionnelle à l’étranger, nous proposons à la location notre appartement de 60m² situé au 2étage entièrement rénové et meublé, doté d'un ascenseur neuf. cet espace de vie comprend deux chambres (parentale et une chambre enfants), une cuisine équipée, un wc séparé, ainsi qu'un salon lumineux agrémenté de poutres en bois apparentes et d'un parquet d'époque, offrant ainsi un charme authentique.

idéalement situé dans le très prisé 11ème arrondissement de paris, cet immeuble auquel nous sommes attachés se trouve dans un quartier des plus agréables.
loyer mensuel: 2100e + 200e charge
disponible à partir du mois de mai, nous organiserons des visites sur rendez-vous et sur présentation préalable d'un dossier complet.
la sous location est interdite.
nous vous remercions de votre compréhension et restons à votre disposition pour toute information supplémentairedemander plus d'informations au propriétaire",non,non,non,,,,,non,non,non,non,oui,non,non,2.0,5.0,non,oui,,,,,2300.0,200.0,,2100.0
1,https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/nation-alexandre-dumas/215757513.htm,215757513,appartement,oui,,4130.0,paris,75011,,3,2.0,54.0,"(par783)

*les prix indiqués sont : (1) basés sur une date d’entrée dans les lieux le premier jour où l’appartement est disponible à la location ; (2) applicables seulement si le montant de la location est payé intégralement à l’entrée dans les lieux, tout en étant susceptible d’être plus cher en cas de paiement mensuel ; (3) n’incluent pas les charges et taxes. pour le montant exact de votre location, nous vous laissons le soin de vous rendre sur notre site ou de nous contacter directement.

démarrez votre nouvelle vie à paris avec ce 3 pièces magnifique proposé par blueground. vous vous sentirez comme chez vous dans cet appartement meublé haut de gamme, entièrement équipé et aménagé, situé bastille.
avec blueground, bénéficiez d’un service client 24/24 et 7/7 pour vous assister!
nb : nos appartements sont proposés en résidences secondaires ou baux sociétés et pour un an maximum.

un appartement conçu spécialement pour vous

avec blueground, vous disposez d’un espace bien pensé, d’un mobilier tendance, d’une cuisine entièrement équipée et aménagée dans ce joli 3 pièces. grâce à nos matelas de qualité supérieure, et notre linge de maison haut de gamme, vous bénéficierez d’un confort incomparable. envie de vous amuser ? profitez de nos enceintes marshall wifi ou de nos tv connectées !

équipements

les équipements de l’immeuble propres à ce 3 pièces sont:

sèche-linge
machine à laver
assistance à l’arrivée et au quotidien

tout l’appartement est à vous ! vous serez accueilli par un membre de l’équipe de blueground ou nous vous donnerons des instructions pour entrer dans les lieux par vous-même.

tout au long de votre séjour, vous pourrez contacter notre service client via l’application blueground. vous pouvez commander des prestations de ménage supplémentaires, soumettre des demandes de maintenance et en savoir plus sur votre nouveau chez-vous en quelques clics.

nous vous communiquerons toutes les informations nécessaires lors de la confirmation de votre séjour.

à noter également

cet appartement blueground peut être réservé pour une durée de d’un mois et jusqu’à un an.demander plus d'informations à l'agence",non,non,non,,,,,non,non,non,non,non,non,non,2.0,4.0,non,oui,,,,,4130.0,,,4130.0
2,https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/nation-alexandre-dumas/221507909.htm,221507909,appartement,oui,matthieu,2877.0,paris,75011,,4,3.0,61.0,"à proximité immédiate de la place de la nation à paris, bel appartement tout confort entièrement meublé. orienté sud-est et situé au 7e étage avec grand ascenseur, il convient parfaitement pour une colocation d'étudiants, une famille avec enfants ou un couple. proche de toutes commodités, il saura vous accueillir confortablement, il ne vous reste plus qu'à poser vos valises. ce logement est doté d'un grand séjour et d'un balcon filant d'environ 10 m2 avec une magnifique vue dégagée sur les toits et sur la place de la nation. moderne et bien équipé, ce bien va vous séduire par sa pièce à vivre spacieuse d'environ 27 m2, avec une cuisine américaine ouverte sur le séjour et entièrement équipée (lave-vaisselle miele, réfrigérateur, congélateur, four, four micro-ondes et nombreux éléments de rangements). 

toutes charges incluses
l'appartement meublé dispose d'une chambre parentale (lit queen size 160 x 200 cm avec double armoire de rangement aménagée), de deux autres chambres lit double avec leur armoire de rangement aménagée et bureau dans l'une des chambres). canapé du séjour convertible. grandes fenêtres avec double vitrage et volets électriques. deux des chambres ainsi que le séjour sont chacun dotés d’une porte-fenêtre donnant sur le balcon filant. l’appartement dispose également d'un espace bureau à l'entrée qui permet de s’isoler pour travailler au calme. cuisine toute équipée. salle de bains avec grande douche. machine à laver et sèche-linge miele. wc suspendus séparés avec petit placard de rangement. entrée avec placard de rangement et penderie. connexion internet fibre optique incluse, réseau local wi-fi ou ethernet avec prises rj45. frais de consommation de chauffage, d'électricité et d'eau inclus dans le loyer. cave d’environ 6 m3 en sous-sol. 

nœud de transports
cadre de vie : rer a + nombreuses lignes de métro et de bus pour se rendre partout dans paris facilement. place de la bastille et gare de lyon à 5 min en métro, la défense à 20 min, gares de l'est/du nord/montparnasse à 30 min, aéroports d’orly/roissy cdg à moins d’une heure. lignes de tram t3a et t3b à 800 m. 

pour 3 colocataires - 959 €/mois par colocataire toutes charges comprises
disponibilité 1er septembre 2024
d’autres photos transmises sur demandedemander plus d'informations au propriétaire",oui,non,non,10.0,,,,oui,non,non,non,oui,non,non,7.0,7.0,non,oui,,,,,2877.0,490.0,,3684.0
3,https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/republique-saint-ambroise/209054435.htm,209054435,appartement,oui,alain,1900.0,paris,75011,,2,1.0,42.0,"idéalement situé à proximité du parc de belleville, du musée du louvre et du centre pompidou, cet appartement parisien avec ses parquets est parfait pour un séjour au cœur de paris. situé au 2ème étage d'une résidence calme et sécurisée, son séjour bien aéré et donnant sur un balcon est composé d'un canapé et de beaux fauteuils, d'une télévision et d'un coin repas. la cuisine est ouverte sur le séjour et est entièrement équipée d'une plaque de cuisson, une bouilloire, un réfrigérateur et des placards de rangement. vous disposez d'une chambre lumineuse proposant un lit double et des étagères. dans la salle de bain, vous avez une baignoire, une vasque et un miroir et un wc.demander plus d'informations au propriétaire",oui,non,non,,,,,non,non,non,non,non,non,non,2.0,,oui,non,,,,,1900.0,150.0,,3800.0
4,https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/bastille-popincourt/216831643.htm,216831643,appartement,oui,edouard,3197.0,paris,75011,,3,2.0,54.0,"appartement atypique au 5ème et dernier étage avec ascenseur. une grande pièce principale de 30m2 avec une belle hauteur sous plafond, 2 chambres et 2 salles de bain. 

l'appartement est plein sud, avec un balcon filant de 25m2. gros plus, nous avons un sauna!!

à quelques pas du marché de bastille et de la place des vosges.

l'appartement est disponible en bail de mobilité jusqu'a fin mai.demander plus d'informations au propriétaire",oui,non,non,25.0,,,,non,non,non,non,oui,non,non,5.0,,non,oui,,,,,3197.0,1500.0,,3000.0
5,https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/nation-alexandre-dumas/221507909.htm,221507909,appartement,oui,matthieu,2877.0,paris,75011,,4,3.0,61.0,"à proximité immédiate de la place de la nation à paris, bel appartement tout confort entièrement meublé. orienté sud-est et situé au 7e étage avec grand ascenseur, il convient parfaitement pour une colocation d'étudiants, une famille avec enfants ou un couple. proche de toutes commodités, il saura vous accueillir confortablement, il ne vous reste plus qu'à poser vos valises. ce logement est doté d'un grand séjour et d'un balcon filant d'environ 10 m2 avec une magnifique vue dégagée sur les toits et sur la place de la nation. moderne et bien équipé, ce bien va vous séduire par sa pièce à vivre spacieuse d'environ 27 m2, avec une cuisine américaine ouverte sur le séjour et entièrement équipée (lave-vaisselle miele, réfrigérateur, congélateur, four, four micro-ondes et nombreux éléments de rangements). 

toutes charges incluses
l'appartement meublé dispose d'une chambre parentale (lit queen size 160 x 200 cm avec double armoire de rangement aménagée), de deux autres chambres lit double avec leur armoire de rangement aménagée et bureau dans l'une des chambres). canapé du séjour convertible. grandes fenêtres avec double vitrage et volets électriques. deux des chambres ainsi que le séjour sont chacun dotés d’une porte-fenêtre donnant sur le balcon filant. l’appartement dispose également d'un espace bureau à l'entrée qui permet de s’isoler pour travailler au calme. cuisine toute équipée. salle de bains avec grande douche. machine à laver et sèche-linge miele. wc suspendus séparés avec petit placard de rangement. entrée avec placard de rangement et penderie. connexion internet fibre optique incluse, réseau local wi-fi ou ethernet avec prises rj45. frais de consommation de chauffage, d'électricité et d'eau inclus dans le loyer. cave d’environ 6 m3 en sous-sol. 

nœud de transports
cadre de vie : rer a + nombreuses lignes de métro et de bus pour se rendre partout dans paris facilement. place de la bastille et gare de lyon à 5 min en métro, la défense à 20 min, gares de l'est/du nord/montparnasse à 30 min, aéroports d’orly/roissy cdg à moins d’une heure. lignes de tram t3a et t3b à 800 m. 

pour 3 colocataires - 959 €/mois par colocataire toutes charges comprises
disponibilité 1er septembre 2024
d’autres photos transmises sur demandedemander plus d'informations au propriétaire",oui,non,non,10.0,,,,oui,non,non,non,oui,non,non,7.0,7.0,non,oui,,,,,2877.0,490.0,,3684.0
6,https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/leon-blum-folie-regnault/217803975.htm,217803975,appartement,oui,héloïse,1280.0,paris,75011,,2,1.0,40.0,"agréable 2 pièces, meublé de 40m2, clair et calme . près de bastille et du rer nation. dans une rue calme, immeuble 1900 en pierre de taille, bien entretenu. avec une entrée, une cuisine séparée et équipée, une grande fenêtre ; une chambre avec des grands placards ; un séjour avec un canapé club en cuir. une salle de bain avec baignoire et une fenêtre. appartement fonctionnel avec 7 placards de rangement. chauffage et eau chaude par chaudière à gaz économique récente. local à vélos. a proximité immédiate de tous commerces, supermarchés, restaurants, un parc. près du métro, à 20 minutes du centre de paris en bus, du quartier du marais, du bois de vincennes. pas de colocation possible. loyer et charges comprises 1280 euros. merci de bien vouloir me laisser un message avec votre numéro de téléphone afin d'organiser une visite.demander plus d'informations au propriétaire",non,non,non,,,,,non,non,non,non,non,non,non,3.0,3.0,oui,non,,,,,1280.0,80.0,,2000.0
7,https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/leon-blum-folie-regnault/221980241.htm,221980241,studio,oui,marinadou,955.0,paris,75011,,1,,26.0,"studio meublé de 26 mètres carrés comprenant une entrée, une cuisine et une chambre, une salle de bain. a louer à partir du 21 juin 2024. lumineux. au 5eme étage sans ascenseur. proche de l'atelier des lumières et du métro saint maur ou voltaire.
demander plus d'informations au propriétaire",non,non,non,,,,,oui,non,non,non,non,non,non,5.0,5.0,oui,non,,,,,955.0,25.0,,1700.0
8,https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/belleville-saint-maur/212701881.htm,212701881,appartement,oui,amandine  valette,1860.0,paris,75011,,2,1.0,82.0,"a louer : t2 82m2 quartier saint ambroise 75011 19 rue morand 

calme et proche de toutes commodités (commerces, boulangeries, cafés, transports..).

rejoignez le centre du 11e en 15min et les universités,écoles,collèges via l'accès aux station de métro toutes proches.

la tranquillité est assurée par la gardienne de l'immeuble qui s'occupe du calme et de la propreté des parties communes.  une isolation acoustique et thermique neuve.

l'appartement est composé d'une pièce de vie et d'une chambre, d'une salle d'eau et d'une cuisine équipée (tv, internet, wifi, machine a café, plaque de cuisson, grill, couverts..).

loyer :1860€ 
charges : fai, parties communes, électricité, eau chaude et froide. ( 376€ ) 

estimation de la consommation énergétique réalisée en 2022, ~2000€ année.

dépit de garantie, 2 mois de loyer.

colocation autorisée.
type de bail, meublé

bien localisé au : 19 rue morand quartier saint-ambroise paris 11e 

dépôt de garantie, 2 mois de loyer.

bien disponible le mardi 19 décembre 2023 

bien cordialement mr et mme valettedemander plus d'informations au propriétaire",non,non,non,,,,,non,non,non,non,oui,non,oui,,,non,oui,,,,,1860.0,376.0,,3720.0
9,https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/republique-saint-ambroise/222672211.htm,222672211,appartement,oui,,1655.0,paris,75011,,3,2.0,47.0,"métro l3 parmentier - situé 73 avenue parmentier 75011 paris - dans un secteur recherché, dans un immeuble de bon standing , situé au 3ème étage avec ascenseur, un 3 pièces meublé d'une surface de 46.59 m² habitable comprenant une entrée, 2 chambres, un salon, une cuisine indépendante aménagée et équipée (les photos datent de l'année dernière, le plafond a été réparé depuis), une salle de bains, et un wc séparé. appartement lumineux, au calme. chauffage et eau chaude individuels au gaz. toutes commodités à proximité.

zone soumise à l'encadrement des loyers
loyer hors charges : 1.536,00 euros par mois (loyer de référence: 1.327,81 euros soit 28,5 euros/m² ; loyer de référence majoré (loyer de base à ne pas dépasser): 1.593,38 euros soit 34,2 euros/m²) – forfait de charges : 119,00 euros par mois (avec révision annuelle) - dépôt de garantie: 3.072,00 euros - honoraires à la charge du locataire: si bail classique loi 89 (habitation principale): 698,85 euros ttc (dont 139,77 euros d'état des lieux) - si bail société ou bail d'habitation secondaire: 1 mois de loyer hors charges. disponible début juillet.

les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site géorisques :demander plus d'informations à l'agence",non,non,non,,,,,non,non,non,non,oui,non,non,3.0,6.0,oui,non,,,,,1655.0,119.0,,3072.0
