title_and_price,location,details,description,metro_stations,conditions_financieres,energy_GES,ref_date
"Location meublée maison 74,50 m² Sainte-Suzanne (97441)
1.150 €"                                                                      ,Sainte-Suzanne (97441)             ,"['4 pièces', '2 chambres', '74,50 m²', 'Terrain 105 m²']" ,"F3 Bien situé dans les hauts de Sainte-Suzanne deux rives proche de toutes commodités.
                                                                                                                                                                               Une cuisine ouverte et deux chambres plus 2 salles de bains et wc en bas et en haut.l’entrée donne directement sur une terrasse sécurisée à l’arrière une autre terrasse donnait directement sur une courette.
                                                                                                                                                                               
                                                                                                                                                                               Cette location meublée d'un montant 1150€mois tout charge inclus de plus il n’y a pas tout à l’égout
                                                                                                                                                                               L’ axé via un portail électrique donnant dans une cour privée idéal pour seniors cherchant la tranquillité."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"['Conditions financières\nLoyer charges comprises\n1.150 € / mois\nDont charges\n50 € / mois\nDépôt de garantie\n2.200 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n1.150 € / mois\nDont charges\n50 € / mois\nDépôt de garantie\n2.200 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n1.150 € / mois\nDont charges\n50 € / mois\nDépôt de garantie\n2.200 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG']"                                                                                                                                                                                                                                                                                                                                                                                     ,"['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n1.150 € / mois', 'Dont charges\n50 € / mois', 'Dépôt de garantie\n2.200 €']"                      ,"{'energy': 'B', 'GES': 'B'}"                         ,Réf. : E99/0247 / 28 février 2024
"Location appartement 4 pièces 80 m² Sucy-En-Brie (94370)
1.449 €"                                                                      ,Sucy-en-Brie (94370)               ,"['4 pièces', '3 chambres', '80 m²']"                      ,"- Quartier calme et résidentiel.
                                                                                                                                                                               - Portail et entrée individuelle, cuisine semi-équipée, salle de bain avec baignoire et toilettes séparées avec lave-mains.
                                                                                                                                                                               - Suite parentale (chambre avec salle d'eau).
                                                                                                                                                                               - Appartement au premier étage dans une grande maison.
                                                                                                                                                                               - Deux terrasses dans un appartement traversant : possibilité de manger à l'extérieur.
                                                                                                                                                                               - Parking individuel.
                                                                                                                                                                               - Placards de rangements dans deux chambres et à l'entrée.
                                                                                                                                                                               
                                                                                                                                                                               - Proximité des écoles : maternelle, élémentaire, collège et lycée.
                                                                                                                                                                               - Proximité des transports en commun : lignes de bus 2, 4 et 5 au bout de la rue, RER A gare Sucy-Bonneuil accessible en 10min de bus ou 25min à pied.
                                                                                                                                                                               - Commerces et équipements sportifs à proximité.
                                                                                                                                                                               - Parc Municipal des Sports de Sucy à moins d'un kilomètre : club de tennis, football, athlétisme, rugby, stade, etc.
                                                                                                                                                                               - Conservatoire de musique à proximité.
                                                                                                                                                                               - Seule charge : taxe d'ordure ménagère."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"['Sucy - Bonneuil', 'Boissy-Saint-Léger', 'La Varenne - Chennevières']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n1.449 € / mois', 'Dont charges\n24 € / mois', 'Dépôt de garantie\n1.425 €']"                      ,"{'energy': 'E', 'GES': 'B'}"                         ,Réf. : E40/1923 / 28 février 2024
"Location appartement 6 pièces 134 m² Bourges (18000)
1.190 €"                                                                      ,Bourges (18000)                    ,"['6 pièces', '4 chambres', '134 m²']"                     ,"Hyper-centre, quartier cathédrale - Appartement T5/T6 en duplex avec place de parking.
                                                                                                                                                                               
                                                                                                                                                                               Le charme de l'ancien et le confort du moderne.
                                                                                                                                                                               
                                                                                                                                                                               Parfait famille ou colocation (possibilité location en meublé).
                                                                                                                                                                               
                                                                                                                                                                               L'appartement se compose de:
                                                                                                                                                                               - une cuisine équipée (frigo congélateur, four chaleur tournante, micro-onde, lave vaisselle, plaques à induction, hotte, etc.)
                                                                                                                                                                               - un beau séjour lumineux avec parquet, cheminée et moulures
                                                                                                                                                                               - un salon avec belle hauteur sous plafond et poutres apparentes
                                                                                                                                                                               - quatre chambres individuelles avec rangements intégrés, dont une grande chambre à l'étage de 30 m2 avec salle de bains/wc indépendante
                                                                                                                                                                               - deux salles de bains supplémentaires dont une avec baignoire et lavabo double vasques
                                                                                                                                                                               - un wc indépendant.
                                                                                                                                                                               
                                                                                                                                                                               Ce bien allie parfaitement les atouts d'un appartement moderne (cuisine équipée de haut standing et fonctionnelle, place de parking, bon agencement, bonne isolation, luminosité, etc.) et le charme de l'ancien (poutres apparentes, moulures, parquet, etc.). Laissez vous séduire par son escalier en pierre de taille et sa vue cathédrale!
                                                                                                                                                                               
                                                                                                                                                                               Au rez-de-chaussée, vous avez accès à une cours commune protégée ainsi qu'un jardin partagé à l'arrière.
                                                                                                                                                                               Vous disposez d'une place de parking privative (suffisamment grande pour accueillir une voiture et un deux roues).
                                                                                                                                                                               
                                                                                                                                                                               A 5 min à pied : accès à tous les services (mairie, poste, pharmacie, etc.), commerces (restaurants, supérette ouverte 24/24, Carrefour City, etc.) et écoles/universités (ENSA)."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,"['Conditions financières\nLoyer charges comprises\n1.190 € / mois\nDont charges\n90 € / mois\nDépôt de garantie\n1.100 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n1.190 € / mois\nDont charges\n90 € / mois\nDépôt de garantie\n1.100 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n1.190 € / mois\nDont charges\n90 € / mois\nDépôt de garantie\n1.100 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG']"                                                                                                                                                                                                                                                                                                                                                                                     ,"['', '', '', 'Loyer charges comprises\n1.190 € / mois', 'Dont charges\n90 € / mois', 'Dépôt de garantie\n1.100 €']"                                                                            ,"{'energy': 'C', 'GES': 'D'}"                         ,Réf. : F09/0107 / 28 février 2024
"Location meublée appartement 20 m² Villeurbanne
649 €"                                                                        ,Villeurbanne (69100)               ,"['1 pièce', '20 m²']"                                     ,"Charmant t1 bis neuf
                                                                                                                                                                               T1 bis neuf et totalement meublé, face au grand parc de la Commune Paris, dans une rue calme et pavillonnaire .
                                                                                                                                                                               
                                                                                                                                                                               À proximité directe des transports en commun (métro A, bus etc) et des commerces.
                                                                                                                                                                               
                                                                                                                                                                               Venez découvrir ce charmant t1 bis meublé, fonctionnel, comprenant une belle pièce de vie avec chambre, cuisine équipée : plaques vitrocéramiques, mini four, micro-ondes, frigo, lave-linge, toute la vaissellerie ainsi que l'entièreté de linge de maison et d'une salle de bain moderne avec douche balnéo, nombreux rangements, toutes les pièces sont carrelés mais surtout, faites le plein d'économies grâce à l'eau, l'électricité et le chauffage qui sont inclus dans le prix du loyer annoncé 649€ charges comprises
                                                                                                                                                                               
                                                                                                                                                                               Longues études ou CDI et garants physiques obligatoires
                                                                                                                                                                               Contrat de location de 12 mois"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,"['Conditions financières\nLoyer charges comprises\n649 € / mois\nDont charges\n85 € / mois\nDépôt de garantie\n1.128 €\nZone soumise à encadrement des loyers  -   En savoir plus\nLoyer de référence majoré\n384 €\nComplément de loyer\n180 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n649 € / mois\nDont charges\n85 € / mois\nDépôt de garantie\n1.128 €\nZone soumise à encadrement des loyers  -   En savoir plus\nLoyer de référence majoré\n384 €\nComplément de loyer\n180 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n649 € / mois\nDont charges\n85 € / mois\nDépôt de garantie\n1.128 €\nZone soumise à encadrement des loyers  -   En savoir plus\nLoyer de référence majoré\n384 €\nComplément de loyer\n180 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG']"                                                                                              ,"['', '', '', 'Loyer charges comprises\n649 € / mois', 'Dont charges\n85 € / mois', 'Dépôt de garantie\n1.128 €', 'Loyer de référence majoré\n384 €', 'Complément de loyer\n180 €']"            ,"{'energy': 'Not Available', 'GES': 'Not Available'}" ,Réf. : F05/1695 / 28 février 2024
"Location meublée appartement 2 pièces 63 m² Puteaux
2.000 €"                                                                      ,Puteaux (92800)                    ,"['2 pièces', '1 chambre', '63 m²']"                       ,"Bail civil résidence secondaire ou logement de fonction à partir du 29 Janvier 2024.
                                                                                                                                                                               Possibilité bail mobilité.
                                                                                                                                                                               
                                                                                                                                                                               Appartement F2 d'environ 63 m2, entièrement meublé, qui convient à un cadre ou à un couple désirant se loger en plein quartier des affaires de La Défense. L'appartement est composé d'une entrée, salon/salle à manger, cuisine, salle de bains avec baignoire, dégagement, chambre, wc séparés 4 grandes baies vitrées (2 dans le salon/salle à manger, une dans la chambre, 1 dans la cuisine). Orientation ouest (soleil l'après-midi). Très lumineux avec une vue panoramique sur La Défense, le Cnit, les quatre temps et le Mont Valérien. Étage élevé avec deux ascenseurs. Balcon filant (faisant le tour du salon, cuisine et la chambre).
                                                                                                                                                                               
                                                                                                                                                                               Accès à personne à mobilité réduite.
                                                                                                                                                                               
                                                                                                                                                                               2000€ toutes charges comprises (charges de copropriété, internet, eau chaude et froide, chauffage).
                                                                                                                                                                               Forfait électricité en plus : 80€/mois."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"['La Défense', 'Esplanade de la Défense', 'Puteaux']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,"['', '', '', 'Loyer charges comprises\n2.000 € / mois', 'Dont charges\n200 € / mois', 'Dépôt de garantie\n3.600 €']"                                                                           ,"{'energy': 'D', 'GES': 'D'}"                         ,Réf. : A25/0729 / 28 février 2024
"Location meublée studio 16 m² Pornichet (44380)
445 €"                                                                        ,Pornichet (44380)                  ,"['1 pièce', '16 m²']"                                     ,"Studio : 445 E/mois charges comprises (inclus eau, électricité, Internet wifi ).
                                                                                                                                                                               Pornichet : limite Saint-Nazaire Ouest : bien situé.
                                                                                                                                                                               
                                                                                                                                                                               Location d'un studio-cottage 17 m2 Meublé de Janvier à fin juin.
                                                                                                                                                                               Cette petite résidence étudiante avec parking se trouve en lotissement, avec un petit jardin indépendant, le tout meublé avec (banquette BZ et lit en hauteur 1 pers TV, table, vaisselle, micro-ondes, salle de bains, douche wc, kitchenette avec induction) dans un quartier très calme et sans vis à vis, avec une entrée indépendante..
                                                                                                                                                                               
                                                                                                                                                                               Aucun abonnement à prendre ... (comme un appart-hôtel) Mobilier Ikea.
                                                                                                                                                                               
                                                                                                                                                                               Vous disposerez d'un local à vélos. Lave-linge (Gratuit).
                                                                                                                                                                               La résidence est située juste à côté de l'hippodrome de Pornichet (St-Sébastien).
                                                                                                                                                                               Arrêt de bus à 100m de la résidence pour L'IUT et la Fac (10 min en Bus) et à 5 min en voiture par la rocade (3km).
                                                                                                                                                                               Pas de contact téléphonique le Dimanche merci de votre compréhension"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"[""  J'utilise Whatsapp. Vous pouvez proposer un appel vidéo pour visiter le logement.\nConditions financières\nLoyer charges comprises\n445 € / mois\nDont charges\n50 € / mois\nDépôt de garantie\n395 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG"", ""  J'utilise Whatsapp. Vous pouvez proposer un appel vidéo pour visiter le logement.\nConditions financières\nLoyer charges comprises\n445 € / mois\nDont charges\n50 € / mois\nDépôt de garantie\n395 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG"", ""  J'utilise Whatsapp. Vous pouvez proposer un appel vidéo pour visiter le logement.\nConditions financières\nLoyer charges comprises\n445 € / mois\nDont charges\n50 € / mois\nDépôt de garantie\n395 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG""]"                                                                                                                            ,"['', '', '', 'Loyer charges comprises\n445 € / mois', 'Dont charges\n50 € / mois', 'Dépôt de garantie\n395 €']"                                                                                ,"{'energy': 'B', 'GES': 'C'}"                         ,Réf. : E39/2088 / 28 février 2024
"Location appartement 4 pièces 89 m² Chamalières (63400)
1.240 €"                                                                      ,Chamalières (63400)                ,"['4 pièces', '2 chambres', '89 m²']"                      ,"Dans résidence au calme, proche centre et commodités, rez-de-chaussée surélevé avec parking et cave. Chauffage compris dans les charges. Etat neuf. Libre de suite."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"['Conditions financières\nLoyer charges comprises\n1.240 € / mois\nDont charges\n290 € / mois\nDépôt de garantie\n950 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n1.240 € / mois\nDont charges\n290 € / mois\nDépôt de garantie\n950 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n1.240 € / mois\nDont charges\n290 € / mois\nDépôt de garantie\n950 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"['', '', '', 'Loyer charges comprises\n1.240 € / mois', 'Dont charges\n290 € / mois', 'Dépôt de garantie\n950 €']"                                                                             ,"{'energy': 'Not Available', 'GES': 'Not Available'}" ,Réf. : F16/1904 / 28 février 2024
"Location meublée appartement 2 pièces 48,21 m² Asnières-Sur-Seine (92600)
1.480 €"                                                                      ,Asnières-sur-Seine (92600)         ,"['2 pièces', '1 chambre', '48,21 m²']"                    ,"À deux pas de la gare d’Asnières-sur-Seine.
                                                                                                                                                                               Calme.
                                                                                                                                                                               Meublé.
                                                                                                                                                                               2 Pièces 48,21 m²
                                                                                                                                                                               grande terrasse 25 m2
                                                                                                                                                                               Salon, 1 chambre cuisine salle de bains, wc séparés.
                                                                                                                                                                               DPE C.
                                                                                                                                                                               1480€ charges incluses.
                                                                                                                                                                               État neuf."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"['Asnières-sur-Seine', 'Pont de Levallois - Bécon', 'Clichy - Levallois']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"['', '', '', 'Loyer charges comprises\n1.480 € / mois', 'Dont charges\n80 € / mois', 'Dépôt de garantie\n2.800 €']"                                                                            ,"{'energy': 'C', 'GES': 'C'}"                         ,Réf. : F17/1246 / 28 février 2024
"Location appartement 3 pièces 70 m² Montpellier (34)
920 €"                                                                        ,Montpellier (34000)                ,"['3 pièces', '2 chambres', '70 m²']"                      ,"Montpellier, Avenue de Lodève, appartement T3 de 70 m2, calme et lumineux, dans une résidence sécurisée, situé au 5ème étage avec ascenseur.
                                                                                                                                                                               
                                                                                                                                                                               Il se compose :
                                                                                                                                                                               - d'une entrée avec placard aménagé,
                                                                                                                                                                               - d'un séjour et d'une cuisine séparée semi-équipée (hotte et plaque de cuisson) avec de nombreux rangements donnant sur une terrasse ensoleillée et sur des espaces verts.
                                                                                                                                                                               - de 2 chambres,
                                                                                                                                                                               - d'une salle de bain
                                                                                                                                                                               - d'un WC séparé
                                                                                                                                                                               
                                                                                                                                                                               Appartement rénové et équipé de double vitrage.
                                                                                                                                                                               
                                                                                                                                                                               Un cellier privatif et une place de parking extérieure sont compris dans la location.
                                                                                                                                                                               
                                                                                                                                                                               L'eau et le chauffage central collectif sont inclus dans les charges.
                                                                                                                                                                               
                                                                                                                                                                               L'appartement est proche de toutes commodités : arrêt de tramway, ligne de bus, centre commercial, centre médical, …
                                                                                                                                                                               
                                                                                                                                                                               Loyer : 780 E par mois + 140 E de charges (chauffage et eau compris).
                                                                                                                                                                               Loyer total : 920 E toutes charges comprises.
                                                                                                                                                                               
                                                                                                                                                                               Merci de bien vouloir me contacter par téléphone du lundi au vendredi de 15h à 19h, ou par mail.
                                                                                                                                                                               Merci d'appeler entre 9h et 12h et entre 15h et 18h"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"['Conditions financières\nLoyer charges comprises\n920 € / mois\nDont charges\n140 € / mois\nDépôt de garantie\n780 €\nZone soumise à encadrement des loyers  -   En savoir plus\nLoyer de référence majoré\n980 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n920 € / mois\nDont charges\n140 € / mois\nDépôt de garantie\n780 €\nZone soumise à encadrement des loyers  -   En savoir plus\nLoyer de référence majoré\n980 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n920 € / mois\nDont charges\n140 € / mois\nDépôt de garantie\n780 €\nZone soumise à encadrement des loyers  -   En savoir plus\nLoyer de référence majoré\n980 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG']"                                                                                                       ,"['', '', '', 'Loyer charges comprises\n920 € / mois', 'Dont charges\n140 € / mois', 'Dépôt de garantie\n780 €', 'Loyer de référence majoré\n980 €']"                                           ,"{'energy': 'C', 'GES': 'B'}"                         ,Réf. : C47/0080 / 28 février 2024
"Location meublée chambre 11 m² Roubaix (59100)
400 €"                                                                        ,Roubaix (59100)                    ,"['1 pièce', '1 chambre', '11 m²']"                        ,"Proche bus et à proximité des Écoles : Lycée St Rémy, Jean Rostand, ESMOD, ESAAT, ENSAIT, EDHEC ...
                                                                                                                                                                               
                                                                                                                                                                               Colocation dans maison refaite à neuf, entièrement équipée, lumineux traversant.
                                                                                                                                                                               Grand salon avec canapé convertible et fauteuils, TV salle à manger, cuisine toute équipée avec électroménager. Buanderie avec lave linge et sèche linge. La maison comporte 5 chambres et 2 salles de bains et 2 wc.
                                                                                                                                                                               Chambre meublée avec lit double, literie, bureau, dressing.
                                                                                                                                                                               
                                                                                                                                                                               Charges 50€ comprenant électricité, chauffage, eau chaude et froide, internet. Éligible APL.
                                                                                                                                                                               
                                                                                                                                                                               Une présentation par mail de votre situation personnelle est préconisée avant toute visite, un dossier complet vous sera impératif lors de cette visite"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"['Conditions financières\nLoyer charges comprises\n400 € / mois\nDont charges\n50 € / mois\nDépôt de garantie\n350 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n400 € / mois\nDont charges\n50 € / mois\nDépôt de garantie\n350 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n400 € / mois\nDont charges\n50 € / mois\nDépôt de garantie\n350 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG']"                                                                                                                                                                                                                                                                                                                                                                                                 ,"['', '', '', 'Loyer charges comprises\n400 € / mois', 'Dont charges\n50 € / mois', 'Dépôt de garantie\n350 €']"                                                                                ,"{'energy': 'C', 'GES': 'C'}"                         ,Réf. : E40/0830 / 28 février 2024
