description,price,details,title
"Studio en hyper-centre au rez de chausser avec fenêtres donnant au premier étage. 
Louer meublé 
430 cc 
Premier contact par messagerie.",,"['1 Pièce · ', '25 m² · ', 'Castres 81100 ']",Grand studio hyper-centre 25m
description,price,details,title
"Appartement de type T3 entièrement rénové.

Il se compose d'une cuisine ouverte entièrement équipée, comprenant un four, un lave-vaisselle, une plaque à induction et une hotte. La salle de bain est équipée d'un sèche-serviette, d'un meuble double vasque, miroirs et placard intégré. L'appartement dispose également d'une buanderie, de toilettes séparées, d'un couloir et de deux chambres avec climatisation réversible.
La grande pièce à vivre, baignée de lumière naturelle, est également pourvue d'une climatisation réversible et s'ouvre sur un balcon. Des placards intégrés spacieux sont présents dans toutes les pièces pour un rangement optimal. Le chauffage et l'eau chaude sont assurés par une chaudière au gaz.
Un jardin et un garage individuel au rez-de-chaussée ainsi qu’un espace de stationnement au pied de l'immeuble sont inclus.
Idéalement situé quartier Jayan, l'appartement offre des commodités accessibles à pied telles que des établissements scolaires, un supermarché, une boulangerie, etc.
Le loyer mensuel est de 679 €, auxquels s'ajoutent 20 € de charges couvrant l'entretien de la chaudière et la taxe d'ordures ménagères.
Les frais d'électricité, de gaz et de wifi sont à la charge du locataire.

Disponible à partir du 1er février.",,"['3 Pièces · ', '80 m² · ', 'Agen 47000 ']",A louer appartement 80m² quartier Jayan
description,price,details,title
"LE 31 - IDEAL ETUDIANTS ET JEUNES ACTIFS - 
Résidence neuve en plein cœur du quartier animé de Neufchâtel à seulement 250 m de l’arrêt de tramway Danton pour relier la gare en 6 min et le centre-ville en seulement 9 min. L’ensemble des services et commerces est accessible dans un rayon de 300 m autour de la résidence : supermarché, boulangerie, banques, coiffeur, restauration, pharmacie…

Studio composé d'une entrée, d'une pièce de vie principale ouverte sur un coin cuisine équipé ( meuble évier, plan de travail, meuble haut, plaque vitrocéramique) et d'une salle d'eau (meuble vasque, miroir, douche, sèche-serviettes, WC). Chauffage individuel électrique.

Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr 

VALORITY ADB.",,"['1 Pièce · ', '13 m² · ', 'Reims 51100 ']",Studio neuf à Reims résidence LE 31
description,price,details,title
"LOCATION ANNUELLE
T1/T2 MEUBLE TRES BON ETAT
PORNICHET
600 m de la plage de Bonne Source, 900m de la place du
marché,
5 mn de SAINT NAZAIRE (Océanis, IUT…)
Bus pour St Nazaire et commerces à 300 m
T1 25 m2 
ATTENTION l'appartement sera transformé dans le courant de l'été (1 semaine de travaux) en T2 avec création d'une chambre en mezzanine avec accès par escalier privatif. Le loyer passera à 500€. Le locataire en place sera alors prioritaire pour bénéficier de cette agrandissement. 
Kitchinette, salle d'eau séparée, wc séparé.
Tout équipé y compris vaisselle,
Calme, terrasse, parking, 
Orientation sud-est
LOYER 450 €, CHARGES COLLECTIVES COMPRISES
+ Charges de chauffage, électricité et d’eau individuelles à prévoir
(40 à 70 € suivant consommation réelle)",,"['1 Pièce · ', '25 m² · ', 'Pornichet 44380 ']",PORNICHET 450 T1 meublé TBE calme loc. Annuelle
description,price,details,title
"Bonjour, 
Échange mon T3 contre T4. Situer à Borderouge 5min à pied du métro. 
Arrêt de bus « Jean Zay »
Proche commerce et école. 
Résidence calme",,"['3 Pièces · ', '65 m² · ', 'Toulouse 31200 ']",Échange T3 contre T4 habitat Toulouse
