title_and_price,location,details,description,metro_stations,conditions_financieres,energy_ges,ref_date
"Location maison 82 m² Melun (77000)
1.360 €",Melun (77000),"['4 pièces', '3 chambres', '82 m²', 'Terrain 230 m²']","Libre : 1er mai 2024 - Paris gare de Lyon 25 min direct train par ligne R (ou RER D)
500 m gare de Melun=10 min à pied.
123 m2 dont 82 m2 habitable Carrez + sous-sol complet 41 m2 + box auto + parkings.
exposée sud, calme et ensoleillée, rénovée, DPE D
Maison avec jardin privatif et clos de 230 m2, dans résidence arborée (20 000 m2), fermée par un portail automatique,
- Rez-de-chaussée : Entrée avec accès sous-sol, salle à manger/salon exposé sud, Cuisine équipée expo sud, buanderie avec fenêtre, wc avec fenêtre
- Etage : escalier, palier, 3 chambres expo sud, s de bains rénovée en 2022, wc
- Sous-sol, chaudière à gaz chauffage central et eau chaude
- Box automobile + parking
- Jardin clos expo sud, terrasse, jardin clos.

Loyer : 1.325 euros/mois + 35 euros charges copropriété soit 1.360 euros/mois charges comprises.
Fenêtres avec double-vitrage et équipées d'un volet battant pvc ou d'un volet roulant électrique. Aucune pièce n'est mansardée.
Rez-de-chaussée et salle de bains carrelés Toutes les pièces sont équipées de luminaires au plafond.
Cuisine refaite en juin 2019 : 3 murs avec placards cuisine, grand évier inox double bac avec mitigeur, plaque mixte gaz et induction, hotte, four micro-onde, four électrique pyrolyse, emplacement et branchement pour lave-vaisselle (non fourni), emplacement pour réfrigérateur (non fourni)
Buanderie : lavabo et branchement eau et électricité pour lave-linge et sèche-linge (non fournis)
Placard et penderie dans les chambres
Porte-fenêtre et balcon dans la plus grande.
Salle de bains refaite en septembre 2022 : Lavabo vasque, meuble et baignoire avec douche

Boulangerie à 100 m, pharmacie à 200 m, banque, poste et Gare Melun à 500 m, supermarché à 550 m, Ecole maternelle à 550 m, école primaire à 700 m, collège, lycée, piscine à 1km, centre ville Melun 1 km tous commerces, La Cartonnerie sur Dammarie (cinéma, patinoire, karting indoor, bowling, restaurants, etc...)
Laisser un message avec la composition de la famille et les revenus","['Melun', 'Le Mée', 'Livry-sur-Seine']","['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n1.360 € / mois', 'Dont charges\n35 € / mois', 'Dépôt de garantie\n1.325 €']","{'energy': 'D', 'GES': 'D'}",Réf. : F24/1859 / 07 avril 2024
"Location meublée appartement 3 pièces 55 m² Marseille 7E (13007)
1.300 €",Marseille 7e (13007),"['3 pièces', '1 chambre', '55 m²']","A proximité du vieux port et de la fameuse plage de sable des prophètes et de rocher de Malmousque et à 10 min à pied du vieux port.
Bompard est un quartier privilégié de Marseille entre à mi chemin entre la mer et le centre ville.
L'appartement dispose de tout le confort possible et il est meublé avec beaucoup de goût.
Il est totalement équipée, il dispose de la climatisation, chauffage et WiFi fibre gratuit.

La résidence est neuve et vous pourrez vous garer sur les places de parking disponible de la résidence sécurisée avec un portail électrique.
Libre le 03/05/23.
Bail location saisonnière 3 mois ou 6 mois reconductible.
Caution 1 à 2 mois en fonction du bail.
Par mail pour échanger sur votre profil et votre situation.","['Conditions financières\nLoyer charges comprises\n1.300 € / mois\nDont charges\n0 € / mois\nDépôt de garantie\n1.350 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n1.300 € / mois\nDont charges\n0 € / mois\nDépôt de garantie\n1.350 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n1.300 € / mois\nDont charges\n0 € / mois\nDépôt de garantie\n1.350 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG']","['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n1.300 € / mois', 'Dont charges\n0 € / mois', 'Dépôt de garantie\n1.350 €']","{'energy': 'A', 'GES': 'A'}",Réf. : E76/3058 / 07 avril 2024
"Location appartement 5 pièces 115 m² Lyon 6E (69006)
2.060 €",Lyon 6e (69006),"['5 pièces', '3 chambres', '115 m²']","115 m2 - 2ème étage - ascenseur.
Séjour 31 m2 - cuisine équipée indépendante.
Suite parentale - dressings équipés - 2 wc - 2 salles de bains.
Chauffage sol + électrique - Grand double box - Cave.","['Conditions financières\nLoyer charges comprises\n2.060 € / mois\nDont charges\n190 € / mois\nDépôt de garantie\n1.870 €\nZone soumise à encadrement des loyers  -   En savoir plus\nLoyer de référence majoré\n1.736,50 €\nComplément de loyer\n133,50 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n2.060 € / mois\nDont charges\n190 € / mois\nDépôt de garantie\n1.870 €\nZone soumise à encadrement des loyers  -   En savoir plus\nLoyer de référence majoré\n1.736,50 €\nComplément de loyer\n133,50 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n2.060 € / mois\nDont charges\n190 € / mois\nDépôt de garantie\n1.870 €\nZone soumise à encadrement des loyers  -   En savoir plus\nLoyer de référence majoré\n1.736,50 €\nComplément de loyer\n133,50 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG']","['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n2.060 € / mois', 'Dont charges\n190 € / mois', 'Dépôt de garantie\n1.870 €', 'Loyer de référence majoré\n1.736,50 €', 'Complément de loyer\n133,50 €']","{'energy': 'E', 'GES': 'C'}",Réf. : D74/1713 / 07 avril 2024
"Location maison 82 m² Melun (77000)
1.360 €",Melun (77000),"['4 pièces', '3 chambres', '82 m²', 'Terrain 230 m²']","Libre : 1er mai 2024 - Paris gare de Lyon 25 min direct train par ligne R (ou RER D)
500 m gare de Melun=10 min à pied.
123 m2 dont 82 m2 habitable Carrez + sous-sol complet 41 m2 + box auto + parkings.
exposée sud, calme et ensoleillée, rénovée, DPE D
Maison avec jardin privatif et clos de 230 m2, dans résidence arborée (20 000 m2), fermée par un portail automatique,
- Rez-de-chaussée : Entrée avec accès sous-sol, salle à manger/salon exposé sud, Cuisine équipée expo sud, buanderie avec fenêtre, wc avec fenêtre
- Etage : escalier, palier, 3 chambres expo sud, s de bains rénovée en 2022, wc
- Sous-sol, chaudière à gaz chauffage central et eau chaude
- Box automobile + parking
- Jardin clos expo sud, terrasse, jardin clos.

Loyer : 1.325 euros/mois + 35 euros charges copropriété soit 1.360 euros/mois charges comprises.
Fenêtres avec double-vitrage et équipées d'un volet battant pvc ou d'un volet roulant électrique. Aucune pièce n'est mansardée.
Rez-de-chaussée et salle de bains carrelés Toutes les pièces sont équipées de luminaires au plafond.
Cuisine refaite en juin 2019 : 3 murs avec placards cuisine, grand évier inox double bac avec mitigeur, plaque mixte gaz et induction, hotte, four micro-onde, four électrique pyrolyse, emplacement et branchement pour lave-vaisselle (non fourni), emplacement pour réfrigérateur (non fourni)
Buanderie : lavabo et branchement eau et électricité pour lave-linge et sèche-linge (non fournis)
Placard et penderie dans les chambres
Porte-fenêtre et balcon dans la plus grande.
Salle de bains refaite en septembre 2022 : Lavabo vasque, meuble et baignoire avec douche

Boulangerie à 100 m, pharmacie à 200 m, banque, poste et Gare Melun à 500 m, supermarché à 550 m, Ecole maternelle à 550 m, école primaire à 700 m, collège, lycée, piscine à 1km, centre ville Melun 1 km tous commerces, La Cartonnerie sur Dammarie (cinéma, patinoire, karting indoor, bowling, restaurants, etc...)
Laisser un message avec la composition de la famille et les revenus","['Melun', 'Le Mée', 'Livry-sur-Seine']","['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n1.360 € / mois', 'Dont charges\n35 € / mois', 'Dépôt de garantie\n1.325 €']","{'energy': 'D', 'GES': 'D'}",Réf. : F24/1859 / 07 avril 2024
"Location meublée appartement 3 pièces 55 m² Marseille 7E (13007)
1.300 €",Marseille 7e (13007),"['3 pièces', '1 chambre', '55 m²']","A proximité du vieux port et de la fameuse plage de sable des prophètes et de rocher de Malmousque et à 10 min à pied du vieux port.
Bompard est un quartier privilégié de Marseille entre à mi chemin entre la mer et le centre ville.
L'appartement dispose de tout le confort possible et il est meublé avec beaucoup de goût.
Il est totalement équipée, il dispose de la climatisation, chauffage et WiFi fibre gratuit.

La résidence est neuve et vous pourrez vous garer sur les places de parking disponible de la résidence sécurisée avec un portail électrique.
Libre le 03/05/23.
Bail location saisonnière 3 mois ou 6 mois reconductible.
Caution 1 à 2 mois en fonction du bail.
Par mail pour échanger sur votre profil et votre situation.","['Conditions financières\nLoyer charges comprises\n1.300 € / mois\nDont charges\n0 € / mois\nDépôt de garantie\n1.350 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n1.300 € / mois\nDont charges\n0 € / mois\nDépôt de garantie\n1.350 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n1.300 € / mois\nDont charges\n0 € / mois\nDépôt de garantie\n1.350 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG']","['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n1.300 € / mois', 'Dont charges\n0 € / mois', 'Dépôt de garantie\n1.350 €']","{'energy': 'A', 'GES': 'A'}",Réf. : E76/3058 / 07 avril 2024
"Location appartement 5 pièces 115 m² Lyon 6E (69006)
2.060 €",Lyon 6e (69006),"['5 pièces', '3 chambres', '115 m²']","115 m2 - 2ème étage - ascenseur.
Séjour 31 m2 - cuisine équipée indépendante.
Suite parentale - dressings équipés - 2 wc - 2 salles de bains.
Chauffage sol + électrique - Grand double box - Cave.","['Conditions financières\nLoyer charges comprises\n2.060 € / mois\nDont charges\n190 € / mois\nDépôt de garantie\n1.870 €\nZone soumise à encadrement des loyers  -   En savoir plus\nLoyer de référence majoré\n1.736,50 €\nComplément de loyer\n133,50 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n2.060 € / mois\nDont charges\n190 € / mois\nDépôt de garantie\n1.870 €\nZone soumise à encadrement des loyers  -   En savoir plus\nLoyer de référence majoré\n1.736,50 €\nComplément de loyer\n133,50 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n2.060 € / mois\nDont charges\n190 € / mois\nDépôt de garantie\n1.870 €\nZone soumise à encadrement des loyers  -   En savoir plus\nLoyer de référence majoré\n1.736,50 €\nComplément de loyer\n133,50 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG']","['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n2.060 € / mois', 'Dont charges\n190 € / mois', 'Dépôt de garantie\n1.870 €', 'Loyer de référence majoré\n1.736,50 €', 'Complément de loyer\n133,50 €']","{'energy': 'E', 'GES': 'C'}",Réf. : D74/1713 / 07 avril 2024
"Location meublée appartement 2 pièces 36 m² Paris 14E
2.150 €",Paris 14e (75014),"['2 pièces', '1 chambre', '36 m²']","Magnifique 2 pièces neuf au calme Paris 14éme Alésia entièrement climatisé dans résidence sécurisée.
Disponible à partir du 4 mai prochain.

Superbe appartement de 36 m2 en rez-de-jardin aux dernières normes basse consommation (RT 2012) dans résidence arborée et sécurisée avec visiophone.

Appartement entièrement climatisé.
On se croirait à la campagne.

Proche des métros Porte d'Orléans et Alésia (100 m) et de toutes commodités, écoles, cinéma, Universités, ENS
**Pensé et décoré par architecte, exposé plein Sud
Brasserie Zeyer, Cinéma Gaumont, Parc Montsouris à moins de 5 min à pied.

Digicode, visiophone, volets électriques.
Espace cuisine aménagée avec micro-ondes grill, frigo, plaques vitrocéramiques, lave-vaisselle, hotte.
Coin salon avec canapé lit neuf, table basse et table salle à manger avec 2 sièges
Télé écran plat, dvd.
Climatisation réversible toute neuve.
Box téléphone et fibre.
Literie neuve.
Grande salle d'eau avec chauffe serviettes, lave-linge.
Forfait charges inclus : 200 € (wifi, poubelles)
Électricité, chauffage, climatisation: Forfait de 9% du montant du loyer en supplément
Diagnostics DPE : B / GES C.
Caution: 2 mois de loyer HC","[""Porte d'Orléans (Général Leclerc)"", 'Jean Moulin', 'Alésia']","['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n2.150 € / mois', 'Dont charges\n200 € / mois', 'Dépôt de garantie\n3.900 €', 'Loyer de référence majoré\n1.180,80 €', 'Complément de loyer\n769,20 €']","{'energy': 'B', 'GES': 'C'}",Réf. : B54/1353 / 14 avril 2024
"Location meublée appartement 2 pièces 46 m² Clichy (92110)
1.490 €",Clichy (92110),"['2 pièces', '1 chambre', '46 m²']","Beau 2 pièces, 46 m2 avec un balcon de 9 m2, à 10 mn de St-Lazare, donnant sur une cour très calme,
au 8e étage avec ascenseur.
Meublé avec goût et baigné de lumière. La chambre est équipée d'un grand lit avec un matelas confortable. La cuisine est équipée. La salle de bains et les wc sont séparés. Le salon-salle à manger est équipé avec un canapé convertible confortable, une table avec 4 chaises et une télévision. Un long couloir avec de nombreux rangements.Possibilité de faire 2 grandes chambres .Coin repas dans la cuisine

Appartement en excellent état, refait à neuf. Cave avec rangements.

Nombreux transports à côté : métro Mairie de Clichy à 5 mn, nombreux bus, gare de Clichy à 10 mn, commerces, grandes surfaces, pharmacie, écoles à 5 mn.
La gare Saint-Lazare est à 10 mn en métro ligne directe. Ligne 14 à porte de Clichy.

Disponible au 1er Mars 2024.
Colocataires acceptés, étudiants acceptés avec caution des parents.
Loyer charges comprises.
Possibilité de louer une place de parking en sus.
Entre 17h et 20h la semaine","['Mairie de Clichy', 'Clichy - Levallois', 'Asnières-sur-Seine']","['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n1.490 € / mois', 'Dont charges\n170 € / mois', 'Dépôt de garantie\n2.640 €']","{'energy': 'Not Available', 'GES': 'Not Available'}",Réf. : A69/1299 / 14 avril 2024
"Location meublée chambre 20 m² Argenteuil (95100)
850 €",Argenteuil (95100),"['1 pièce', '1 chambre', '20 m²']","Belle maison meublée en colocation. Loue chambre d'environ 20m².

- Transport : arrêt de bus 2 minutes à pied en sortant de la maison.
10 min en bus a la gare
10 min en train direct pour la gare St-Lazare ;
10 min en bus pour tramway pour aller à La Défense.

- Boulangerie, magasin, salle de sport, supermarché et pharmacie autour

La maison est refait à neuf, environnement calme.","['Conditions financières\nLoyer charges comprises\n850 € / mois\nDont charges\n50 € / mois\nDépôt de garantie\n1.600 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n850 € / mois\nDont charges\n50 € / mois\nDépôt de garantie\n1.600 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n850 € / mois\nDont charges\n50 € / mois\nDépôt de garantie\n1.600 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG']","['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n850 € / mois', 'Dont charges\n50 € / mois', 'Dépôt de garantie\n1.600 €']","{'energy': 'D', 'GES': 'D'}",Réf. : E98/2536 / 14 avril 2024
"Location meublée appartement 2 pièces 36 m² Paris 14E
2.150 €",Paris 14e (75014),"['2 pièces', '1 chambre', '36 m²']","Magnifique 2 pièces neuf au calme Paris 14éme Alésia entièrement climatisé dans résidence sécurisée.
Disponible à partir du 4 mai prochain.

Superbe appartement de 36 m2 en rez-de-jardin aux dernières normes basse consommation (RT 2012) dans résidence arborée et sécurisée avec visiophone.

Appartement entièrement climatisé.
On se croirait à la campagne.

Proche des métros Porte d'Orléans et Alésia (100 m) et de toutes commodités, écoles, cinéma, Universités, ENS
**Pensé et décoré par architecte, exposé plein Sud
Brasserie Zeyer, Cinéma Gaumont, Parc Montsouris à moins de 5 min à pied.

Digicode, visiophone, volets électriques.
Espace cuisine aménagée avec micro-ondes grill, frigo, plaques vitrocéramiques, lave-vaisselle, hotte.
Coin salon avec canapé lit neuf, table basse et table salle à manger avec 2 sièges
Télé écran plat, dvd.
Climatisation réversible toute neuve.
Box téléphone et fibre.
Literie neuve.
Grande salle d'eau avec chauffe serviettes, lave-linge.
Forfait charges inclus : 200 € (wifi, poubelles)
Électricité, chauffage, climatisation: Forfait de 9% du montant du loyer en supplément
Diagnostics DPE : B / GES C.
Caution: 2 mois de loyer HC","[""Porte d'Orléans (Général Leclerc)"", 'Jean Moulin', 'Alésia']","['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n2.150 € / mois', 'Dont charges\n200 € / mois', 'Dépôt de garantie\n3.900 €', 'Loyer de référence majoré\n1.180,80 €', 'Complément de loyer\n769,20 €']","{'energy': 'B', 'GES': 'C'}",Réf. : B54/1353 / 14 avril 2024
